aba_number,address,city,state,bank_name
41204726,120 NORTH ST.,BELLEVUE,OHIO,FIRST NATIONAL BANK
42102270,202 SOUTH MAIN STREET,LONDON,KENTUCKY,FIRST NATIONAL BANK
42102571,1126 MAIN STREET,JACKSON,KENTUCKY,FIRST NATIONAL BANK
42103473,200 SOUTH CAROL MALONE BLVD,GRAYSON,KENTUCKY,FIRST NATIONAL BANK
42105442,120 TOWN SQUARE,MANCHESTER,KENTUCKY,FIRST NATIONAL BANK
42206422,121 EAST MAIN STREET,BLANCHESTER,OHIO,FIRST NATIONAL BANK
42206503,17 NORTH MAIN STREET,GERMANTOWN,OHIO,FIRST NATIONAL BANK
42306720,P.O. BOX 68,NEW BREMEN,OHIO,FIRST NATIONAL BANK
44106384,86 N. KENNEBEC AVE.,MCCONNELSVILLE,OHIO,FIRST NATIONAL BANK
44206475,P.O. BOX 147,WAVERLY,OHIO,FIRST NATIONAL BANK
51403041,P O BOX 29,ALTAVISTA,VIRGINIA,FIRST NATIONAL BANK
61202245,626 LIBERTY STREET,WAYNESBORO,GEORGIA,FIRST NATIONAL BANK
63104312,3000 HWY 19A,MOUNT DORA,FLORIDA,FIRST NATIONAL BANK
64101194,PO BOX 289,PULASKI,TENNESSEE,FIRST NATIONAL BANK
64102371,P.O. BOX 989,MANCHESTER,TENNESSEE,FIRST NATIONAL BANK
64107994,PO BOX 289,PULASKI,TENNESSEE,FIRST NATIONAL BANK
64204444,P.O. BOX 950,HELENWOOD,TENNESSEE,FIRST NATIONAL BANK
65505870,121 E. CANAL STREET,PICAYUNE,MISSISSIPPI,FIRST NATIONAL BANK
71122564,1601 15TH STREET,MOLINE,ILLINOIS,FIRST NATIONAL BANK
73902766,316 EAST BREMER AVENUE,WAVERLY,IOWA,FIRST NATIONAL BANK
73904890,PO BOX 325,MANNING,IOWA,FIRST NATIONAL BANK
73907855,PO BOX 68,PRIMGHAR,IOWA,FIRST NATIONAL BANK
