aba_number,address,state,phone_number,bank
101103220  101109130,"P O BOX 68, LEON, KS - 67074",KS,316-742-3241,VINTAGE BANK KANSAS 
101103398  101109130,"P O BOX 68, LEON, KS - 67074",KS,316-742-3241,VINTAGE BANK KANSAS 
101105668,"PO BOX 68, LEON, KS - 67074",KS,316-742-3241,VINTAGE BANK KANSAS 
101109130,"P O BOX 68, LEON, KS - 67074",KS,316-742-3241,VINTAGE BANK KANSAS 
081511631,"PO BOX 250, SPARTA, MO - 65753",MO,417-458-4222,LEGACY BANK 
265476482,"673 ROSEDALE ROAD, PORT ALLEN, LA - 70767",LA,225-344-0318,WBRT FEDERAL CREDIT UNION 
264271390,"SUITE 550, KNOXVILLE, TN - 37902",TN,865-541-6141,HOME FEDERAL SAVINGS BK OF TENNESSEE 
211288491,"4 DAVIS FARM RD., PORTLAND, ME - 04103",ME,207-854-6000,INFINITY FEDERAL CREDIT UNION 
322280184,"2700 EAST 4TH STREET, NATIONAL CITY, CA - 91950",CA,619-475-4313,PARADISE VALLEY FCU 
211288226  211287696,"101 GRAY ROAD, FALMOUTH, ME - 04105",ME,207-878-3441,CUMBERLAND COUNTY FCU 
121138288,"35 SOUTH LINDAN AVENUE, QUINCY, CA - 95971",CA,888-375-8627,PLUMAS BANK 
123103732,"8882 N GOVERNMENT WAY, HAYDEN LAKE, ID - 83835",ID,208-762-7309,IDAHO INDEPENDENT BANK 
242086361,"2091 JAMES E SAULS SR DR, BATAVIA, OH - 45103",OH,513-724-6098,OHIO VALLEY FEDERAL CREDIT UNION 
322280692,"528 FOOTHILL BOULEVARD, LA CANADA, CA - 91012",CA,818-952-4444,CALTECH EMPLOYEES FCU 
107005801,"12345 W COLFAX AVE, LAKEWOOD, CO - 80125",CO,303-235-1446,FIRSTBANK 
107001672,"12345 W COLFAX AVE, LAKEWOOD, CO - 80215",CO,303-235-1446,FIRSTBANK 
107006305,"12345 W COLFAX AVE, LAKEWOOD, CO - 80215",CO,303-235-1446,FIRSTBANK 
107005924,"12345 WEST COLFAX AVENUE, LAKEWOOD, CO - 80215",CO,303-235-1446,FIRSTBANK 
107005490,"12345 WEST COLFAX AVENUE, LAKEWOOD, CO - 80215",CO,303-235-1446,FIRSTBANK 
107005047,"12345 W COLFAX AVE, LAKEWOOD, CO - 80215",CO,303-235-1446,FIRSTBANK 
107004381,"12345 W COLFAX AVE, LAKEWOOD, CO - 80215",CO,303-235-1446,FIRSTBANK 
107004352,"12345 W COLFAX AVE, LAKEWOOD, CO - 80215",CO,303-235-1446,FIRSTBANK 
107003612,"12345 W COLFAX AVE, LAKEWOOD, CO - 80215",CO,303-235-1446,FIRSTBANK 
107003298,"12345 WEST COLFAX AVENUE, LAKEWOOD, CO - 80215",CO,303-235-1446,FIRSTBANK 
107003010,"12345 W COLFAX AVE, LAKEWOOD, CO - 80215",CO,303-235-1446,FIRSTBANK 
107002532,"12345 W COLFAX AVE, LAKEWOOD, CO - 80215",CO,303-235-1446,FIRSTBANK 
107002503,"12345 W COLFAX AVE, LAKEWOOD, CO - 80215",CO,303-235-1446,FIRSTBANK 
107001805,"12345 W COLFAX AVE, LAKEWOOD, CO - 80215",CO,303-235-1446,FIRSTBANK 
102105269,"12345 W COLFAX AVE, LAKEWOOD, CO - 80215",CO,303-235-1446,FIRSTBANK 
102103999,"12345 W. COLFAX AVE., LAKEWOOD, CO - 80215",CO,303-235-1446,FIRSTBANK 
102101519,"12345 WEST COLFAX AVENUE, LAKEWOOD, CO - 80215",CO,303-235-1446,FIRSTBANK 
102006025,"12345 W COLFAX AVE, LAKEWOOD, CO - 80215",CO,303-235-1446,FIRSTBANK 
102005916,"12345 W COLFAX AVE, LAKEWOOD, CO - 80215",CO,303-235-1446,FIRSTBANK 
107006347,"12345 W COLFAX AVE, LAKEWOOD, CO - 80215",CO,303-235-1446,FIRSTBANK 
107006431,"12345 W COLFAX AVE, LAKEWOOD, CO - 80215",CO,303-235-1446,FIRSTBANK 
107006512,"12345 W COLFAX AVENUE, LAKEWOOD, CO - 80215",CO,303-235-1446,FIRSTBANK 
107006554,"12345 W COLFAX AVE, LAKEWOOD, CO - 80215",CO,303-235-1446,FIRSTBANK 
107006651,"12345 W COLFAX AVE, LAKEWOOD, CO - 80215",CO,303-235-1446,FIRSTBANK 
107006664,"12345 W. COLFAX AVE, LAKEWOOD, CO - 80215",CO,303-235-1446,FIRSTBANK 
122106219,"12345 W COLFAX AVE, LAKEWOOD, CO - 80215",CO,303-235-1446,FIRSTBANK 
103103396,"P.O. BOX 458, ANTLERS, OK - 74523",OK,580-298-3368,FIRSTBANK 
221672851,"1130 MUNOZ RIVERA AVE, SAN JUAN, PR - 00927",PR,787-729-8024,FIRSTBANK 
084308498,"27 S BROAD ST, LEXINGTON, TN - 38351",TN,731-968-4211,FIRSTBANK 
084308375,"27 S BROAD ST, LEXINGTON, TN - 38351",TN,731-968-4211,FIRSTBANK 
084304421,"27 S BROAD ST, LEXINGTON, TN - 38351",TN,731-968-4211,FIRSTBANK 
084303804,"27 S BROAD ST, LEXINGTON, TN - 38351",TN,731-968-4211,FIRSTBANK 
084302313,"27 S BROAD ST, LEXINGTON, TN - 38351",TN,731-968-4211,FIRSTBANK 
064104201,"27 S BROAD ST, LEXINGTON, TN - 38351",TN,731-968-4211,FIRSTBANK 
064102737,"27 S BROAD ST, LEXINGTON, TN - 38351",TN,731-968-4211,FIRSTBANK 
061107010,"27 SOUTH BROAD ST, LEXINGTON, TN - 38351",TN,731-968-4211,FIRSTBANK 
122043602,"3701 WILSHIRE BLVD SUITE 402, LOS ANGELES, CA - 90010",CA,213-210-2085,PACIFIC CITY BANK 
291172640,"2110 THIRD AVE N, ESCANABA, MI - 49829",MI,906-786-4623,GREAT LAKES FIRST FCU 
313187050,"3301 S LOOP 256, PALESTINE, TX - 75801",TX,903-729-0207,TRINITY VALLEY TEACHERS CU 
265176083  265377950,"P.O. BOX 1647, PASCAGOULA, MS - 39567",MS,228-475-7300,NAVIGATOR CREDIT UNION 
265377950,"P.O. BOX 1647, PASCAGOULA, MS - 39567",MS,228-475-7300,NAVIGATOR CREDIT UNION 
265377963  265377950,"P O BOX 1647, PASCAGOULA, MS - 39567",MS,228-475-7300,NAVIGATOR CREDIT UNION 
